id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
12357,B002NC0FS0,NULL,"ZuPreem FruitBlend Flavor Pellets Bird Food for Large Birds, 12 lb - Daily Blend Made in USA for Amazons, Macaws, Cockatoos",M0-HBR5-CVLO,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12358,B00JJ1HLSU,NULL,"Suave Men 2 in 1 Shampoo and Conditioner, Ocean Charge, 28 Fl Oz (Pack of 2)",M1-R1EG-6OHS,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12359,B00BUFXFP6,NULL,"Copper Power (Endich) ACP0016B Blue Treatment for Marine Fish, 16-Ounce",M1-X4MC-AEJK,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12360,B073WD6KNQ,NULL,"PureBites Turkey for Dogs",M3-8OXN-PB8E,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12361,B009PI7DO4,NULL,"Boudreaux's Butt Paste 16 Oz (2 Pack)",M3-RZ80-L9YW,44,2,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12362,B002LML47S,NULL,"The Natural Dentist Moisturizing Healthy Gums Antigingivitis Rinse, Peppermint Twist 16.90 oz (Pack of 3)",M4-HETN-C446,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12363,B000B9SGPQ,NULL,"Manna Pro 1000137 227428 Cut Hoof Heal, 16-Ounces",M4-OPIB-4VDU,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12364,B01D2R9XDW,NULL,"Sushi Chef Pickled Ginger, 6 Ounce",M5-L6KF-UJ8H,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12365,B00GMP4QSO,NULL,"Suave Deodorant 2.6 Ounce 24Hr Sweet Pea & Violet Invis. Solid (76ml) (3 Pack)",M6-84RH-DLM5,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12366,B001F6TUL8,NULL,"ZuPreem FruitBlend Flavor Pellets Bird Food for Parrots and Conures, 12 lb - Daily Blend Made in USA for Caiques, African Greys, Senegals, Amazons, Eclectus, Small Cockatoos",M6-ZP40-X969,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12367,B001DYFIPE,NULL,"Dorco Tinkle Eyebrow Shaper, 3 Count (Pack of 1)",M7-Y70H-O8YF,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
